"id","year","week","team","pts_for","opponent","pts_against"
20191341,2019,13,"Faber","80.68","Gresh","62.64"
20191342,2019,13,"Gresh","62.64","Faber","80.68"
20191351,2019,13,"Winks","82.72","Frank","105.9"
20191352,2019,13,"Frank","105.9","Winks","82.72"
20050101,2005,1,"Lude","71.2","Winks","100.94"
20050102,2005,1,"Winks","100.94","Lude","71.2"
20050111,2005,1,"Strand","77.5","Rades","101.58"
20050112,2005,1,"Rades","101.58","Strand","77.5"
20050121,2005,1,"Ost","71.34","Benny","98.76"
20050122,2005,1,"Benny","98.76","Ost","71.34"
20050131,2005,1,"Frank","76.08","Gresh","76.74"
20050132,2005,1,"Gresh","76.74","Frank","76.08"
20050141,2005,1,"Sarge","92.46","Faber","78.72"
20050142,2005,1,"Faber","78.72","Sarge","92.46"
20050151,2005,1,"Schingen","65.54","Ceej","90.18"
20050152,2005,1,"Ceej","90.18","Schingen","65.54"
20050201,2005,2,"Lude","101.18","Strand","64.62"
20050202,2005,2,"Strand","64.62","Lude","101.18"
20050211,2005,2,"Winks","75.88","Ceej","117.68"
20050212,2005,2,"Ceej","117.68","Winks","75.88"
20050221,2005,2,"Ost","67.7","Rades","113.64"
20050222,2005,2,"Rades","113.64","Ost","67.7"
20050231,2005,2,"Frank","83.84","Benny","81.68"
20050232,2005,2,"Benny","81.68","Frank","83.84"
20050241,2005,2,"Sarge","78.4","Gresh","124.12"
20050242,2005,2,"Gresh","124.12","Sarge","78.4"
20050251,2005,2,"Schingen","65.14","Faber","91.44"
20050252,2005,2,"Faber","91.44","Schingen","65.14"
20050301,2005,3,"Lude","75.24","Ost","56.58"
20050302,2005,3,"Ost","56.58","Lude","75.24"
20050311,2005,3,"Winks","76.48","Strand","92.8"
20050312,2005,3,"Strand","92.8","Winks","76.48"
20050321,2005,3,"Frank","99.5","Rades","110.18"
20050322,2005,3,"Rades","110.18","Frank","99.5"
20050331,2005,3,"Sarge","95.66","Benny","75.42"
20050332,2005,3,"Benny","75.42","Sarge","95.66"
20050341,2005,3,"Schingen","98.72","Gresh","98.5"
20050342,2005,3,"Gresh","98.5","Schingen","98.72"
